Wall time,Step,Value
1771417942.067936,243712,-19896.796875
1771417947.7399182,245760,-18855.57421875
1771417953.4361067,247808,-18349.845703125
1771417958.9847417,249856,-17733.900390625
1771417964.7122252,251904,-17101.5078125
1771417970.290067,253952,-17105.3671875
1771417975.7799141,256000,-16251.236328125
1771417981.5598202,258048,-16167.34375
1771417987.2735667,260096,-16009.119140625
1771417993.202776,262144,-15988.1591796875
1771417998.9285805,264192,-15878.431640625
1771418004.5122902,266240,-15853.7470703125
1771418010.0774474,268288,-15836.953125
1771418015.8248072,270336,-14785.4150390625
1771418021.5551002,272384,-14743.12109375
1771418027.3458452,274432,-14931.123046875
1771418032.9936674,276480,-13455.890625
1771418038.9744966,278528,-12849.0849609375
1771418044.7197173,280576,-9979.9921875
1771418050.5172477,282624,-9937.921875
1771418056.2550619,284672,-6193.314453125
1771418062.3173108,286720,-4973.30419921875
1771418068.1590357,288768,-4992.90380859375
1771418073.6244314,290816,-2179.998291015625
1771418079.2244446,292864,-1351.2567138671875
1771418084.7718754,294912,-959.7802734375
1771418090.3543234,296960,-631.5776977539062
1771418095.8849847,299008,-527.6495971679688
1771418101.393209,301056,-503.1203308105469
1771418107.0327413,303104,-485.96722412109375
1771418112.8027377,305152,-383.28363037109375
1771418118.3346376,307200,-366.4193420410156
1771418124.0287292,309248,-362.48907470703125
1771418129.675395,311296,-355.1885986328125
1771418135.253669,313344,-101.41877746582031
1771418140.7851884,315392,-43.243709564208984
1771418146.557621,317440,-78.52661895751953
1771418152.264314,319488,-65.88683319091797
1771418157.8623843,321536,-63.55621337890625
1771418163.7908309,323584,-86.6341781616211
1771418169.5948503,325632,-72.12271118164062
1771418175.271761,327680,-63.689369201660156
1771418180.9211793,329728,-43.994590759277344
1771418186.7654753,331776,-28.947418212890625
1771418192.4142773,333824,-13.428868293762207
1771418198.206075,335872,-7.4987406730651855
1771418203.9803946,337920,-12.534204483032227
1771418209.7833421,339968,7.7870774269104
1771418215.6235247,342016,16.871545791625977
1771418221.0615962,344064,44.73137664794922
1771418226.786195,346112,63.97067642211914
1771418232.405926,348160,77.38691711425781
1771418237.981357,350208,82.6988754272461
1771418243.4354222,352256,90.45904541015625
1771418249.4545314,354304,373.6441345214844
1771418255.1176515,356352,405.9392395019531
1771418260.6453521,358400,501.5250549316406
1771418266.325584,360448,526.232177734375
1771418272.005557,362496,557.2392578125
1771418277.6389291,364544,556.7708740234375
1771418283.5223546,366592,678.520751953125
1771418289.2015476,368640,734.587646484375
1771418294.901351,370688,752.8980712890625
1771418300.8853707,372736,829.8582153320312
1771418306.7865088,374784,853.6292114257812
1771418312.3236454,376832,887.015625
1771418318.163705,378880,913.125244140625
1771418323.789368,380928,1014.1126098632812
1771418329.3984084,382976,1049.06396484375
1771418335.0368779,385024,1133.5579833984375
1771418340.8113434,387072,1245.5750732421875
1771418346.8177507,389120,1309.3603515625
1771418352.522809,391168,1399.28759765625
1771418357.6006384,393216,1508.6641845703125
1771418363.0789216,395264,1595.690185546875
1771418368.5654266,397312,1701.257568359375
1771418374.167183,399360,1804.770751953125
1771418379.789443,401408,1797.9091796875
1771418385.4820993,403456,1951.345703125
1771418391.187854,405504,2045.345703125
1771418396.803194,407552,2122.896484375
1771418402.4717076,409600,2206.201904296875
1771418408.0184412,411648,2198.045654296875
1771418413.5572915,413696,2277.75146484375
1771418419.0907388,415744,2320.55712890625
1771418424.6972938,417792,2420.13916015625
1771418430.3197606,419840,2507.9794921875
1771418435.847636,421888,2627.52001953125
1771418441.340368,423936,2698.7509765625
1771418446.7969105,425984,2806.254150390625
1771418452.3349626,428032,2928.663818359375
1771418457.9905653,430080,2985.883056640625
1771418463.5028324,432128,3021.11669921875
1771418468.9949322,434176,3095.74853515625
1771418474.3069246,436224,3166.210693359375
1771418479.842182,438272,3221.68701171875
1771418485.3711212,440320,3345.63134765625
1771418490.9278364,442368,3429.95068359375
1771418496.5194976,444416,3576.717529296875
1771418502.1256125,446464,3709.783935546875
1771418507.8278606,448512,3775.6513671875
1771418513.4799056,450560,3866.91455078125
1771418519.0259728,452608,3884.538330078125
1771418524.5452297,454656,3985.330078125
1771418530.0766416,456704,4039.8359375
1771418535.5750556,458752,4152.50048828125
1771418541.085165,460800,4207.2568359375
1771418546.6371343,462848,4237.169921875
1771418552.0255308,464896,4311.099609375
1771418557.5443652,466944,4258.681640625
1771418563.10327,468992,4340.32373046875
1771418568.6478086,471040,4350.8125
1771418574.2627466,473088,4363.1953125
1771418579.864932,475136,4410.10107421875
1771418585.368422,477184,4455.4208984375
1771418590.9279647,479232,4483.31298828125
1771418596.5167818,481280,4576.197265625
1771418602.0669944,483328,4583.7041015625
1771418607.6674147,485376,4598.66357421875
1771418613.4529953,487424,4635.33740234375
1771418619.0122998,489472,4649.37353515625
1771418624.5714161,491520,4774.212890625
1771418630.158038,493568,4814.17626953125
1771418635.8026314,495616,4873.3017578125
1771418641.3790796,497664,4941.66845703125
1771418647.1771913,499712,4734.15478515625
1771418652.9575045,501760,4651.7783203125
1771418658.4772596,503808,4541.1806640625
1771418663.968221,505856,4521.2275390625
1771418669.5772748,507904,4458.08642578125
1771418674.8298798,509952,4482.18115234375
1771418680.423081,512000,4563.9931640625
1771418685.928347,514048,4587.0205078125
1771418691.5734591,516096,4458.47216796875
1771418697.4006789,518144,4480.0126953125
1771418702.9585457,520192,4486.7734375
1771418708.2907116,522240,4489.43994140625
1771418713.7832515,524288,3804.0908203125
1771418719.5156848,526336,3795.34130859375
1771418725.1768484,528384,3813.6640625
1771418730.7437923,530432,3865.597412109375
1771418736.3598275,532480,3891.65087890625
1771418742.0788732,534528,3902.429443359375
1771418747.72761,536576,3917.27490234375
1771418753.2775152,538624,3908.0693359375
1771418759.279431,540672,3897.122802734375
1771418764.812191,542720,3935.320556640625
1771418770.4088075,544768,3921.4453125
1771418775.9885077,546816,3973.98828125
1771418781.544886,548864,3966.57763671875
1771418787.8340461,550912,3969.881103515625
1771418794.1667707,552960,3827.567626953125
1771418799.8716707,555008,3798.97265625
1771418805.6418216,557056,3817.87451171875
1771418811.2118537,559104,3832.62890625
1771418816.8730705,561152,3862.475830078125
1771418822.4156682,563200,3876.51318359375
1771418827.9711478,565248,3762.78369140625
1771418833.5431368,567296,3789.144775390625
1771418839.0697126,569344,3763.685546875
1771418844.596396,571392,3782.560546875
1771418850.170904,573440,3650.855712890625
1771418855.4824371,575488,3488.1953125
1771418861.2077668,577536,3487.910888671875
1771418866.8885796,579584,3715.443359375
1771418872.5811388,581632,3606.568603515625
1771418878.4458866,583680,3713.552734375
1771418884.0893362,585728,3648.691650390625
1771418889.7157862,587776,3594.458740234375
1771418895.2318447,589824,3618.445556640625
1771418900.9528985,591872,3519.819091796875
1771418906.5794213,593920,3513.705078125
1771418912.15009,595968,3663.542236328125
1771418917.695716,598016,3435.91455078125
1771418923.3695335,600064,3286.82373046875
1771418928.8675766,602112,-676.1185302734375
1771418934.6430714,604160,21.028419494628906
1771418940.1597645,606208,33.47188186645508
1771418945.682895,608256,-167.33663940429688
1771418951.3648076,610304,-1798.6943359375
1771418957.0506668,612352,-2043.981689453125
1771418962.6721158,614400,-2461.79638671875
1771418968.3026035,616448,-2661.60595703125
1771418973.6863763,618496,-2790.5908203125
1771418979.5616121,620544,-2775.044677734375
1771418985.2530706,622592,-3584.169921875
1771418990.9711595,624640,-3566.41552734375
1771418996.6143742,626688,-3894.452880859375
1771419002.2171094,628736,-4073.394775390625
1771419008.0336103,630784,-4415.05224609375
1771419013.7184803,632832,-4359.05419921875
1771419019.400091,634880,-4339.09619140625
1771419025.1229143,636928,-4730.4599609375
1771419030.6909657,638976,-4857.3896484375
1771419036.6061018,641024,-7393.21923828125
1771419041.8353384,643072,-7391.00732421875
1771419047.381366,645120,-7266.1005859375
1771419053.1865637,647168,-7271.4951171875
1771419058.8796046,649216,-7342.90185546875
1771419064.445595,651264,-7339.23779296875
1771419069.873569,653312,-7188.68896484375
1771419075.3790936,655360,-7003.9013671875
1771419081.0149992,657408,-7004.171875
1771419086.5594032,659456,-7049.8662109375
1771419092.0636399,661504,-6862.21923828125
1771419097.4026463,663552,-6792.7265625
1771419102.9768531,665600,-6692.6181640625
1771419108.5021594,667648,-6581.97705078125
1771419114.0033724,669696,-6576.69091796875
1771419119.5663464,671744,-6577.80322265625
1771419125.0729437,673792,-6591.36083984375
1771419130.572498,675840,-6569.19384765625
1771419136.1857252,677888,-6384.365234375
1771419141.741833,679936,-6256.65673828125
1771419147.3515198,681984,-2295.339599609375
1771419152.75213,684032,-2339.696533203125
1771419158.4168136,686080,-2346.94580078125
1771419163.9762795,688128,-2150.82080078125
1771419169.5543263,690176,-514.65966796875
1771419175.266091,692224,-256.5835876464844
1771419180.870561,694272,142.19815063476562
1771419186.7974443,696320,342.5684509277344
1771419192.3010566,698368,344.130615234375
1771419197.7977123,700416,469.0854187011719
1771419203.5252774,702464,1035.2490234375
1771419209.078853,704512,1023.0076293945312
1771419214.4767616,706560,1354.709716796875
1771419219.966596,708608,1549.0159912109375
1771419225.599887,710656,1887.587890625
1771419231.3134115,712704,1953.0181884765625
1771419237.441407,714752,1944.0048828125
1771419242.8758075,716800,2316.884521484375
1771419248.4004757,718848,2425.092041015625
1771419254.1060507,720896,4961.0556640625
1771419260.560254,722944,4960.4638671875
1771419265.9178934,724992,4856.05419921875
1771419271.4717612,727040,4849.88525390625
1771419277.0613484,729088,4945.15966796875
1771419282.61348,731136,899.689697265625
1771419288.1545503,733184,890.3200073242188
1771419293.6665,735232,757.3309326171875
1771419299.1730523,737280,756.8347778320312
1771419304.7079332,739328,807.2144775390625
1771419310.3076518,741376,795.600830078125
1771419315.8450153,743424,792.0643310546875
1771419321.428591,745472,699.478271484375
1771419326.945427,747520,627.8431396484375
1771419332.6445315,749568,614.2863159179688
1771419338.4944136,751616,713.3209228515625
1771419344.4919896,753664,684.7097778320312
1771419350.205729,755712,704.5897827148438
1771419355.9195938,757760,717.239501953125
1771419361.5967934,759808,755.7368774414062
