#{"t_start": 1771417279.5559034, "env_id": "None"}
r,l,t
-2086.535228,800,307.75314
-4186.532872,800,312.350305
-200.047422,800,312.972852
799.000139,800,313.596956
-581.264095,800,318.113477
1398.238941,800,318.732608
-283.685756,800,319.383558
-472.602072,800,324.351183
-30.543382,800,325.02284
-350.837113,800,329.781919
226.279992,800,330.536622
-283.675973,800,331.200337
-33166.420165,800,336.021272
-1174.647819,800,336.750982
-254.052047,800,341.84647
949.376762,800,342.587052
799.553671,800,343.364373
-5675.583428,800,348.607976
-37385.567395,800,349.389888
-54777.59085,800,354.220892
-57471.32377,800,354.954678
-3739.088226,800,355.729996
1006.76316,800,360.45063
-72076.262945,800,361.191834
-38680.6086,800,365.868258
-80563.459312,800,366.523357
-17592.638363,800,367.148306
-44758.79703,800,371.919295
-19061.302487,800,372.60338
-56713.40045,800,373.212261
-5792.97494,800,377.771785
-6097.235657,800,378.543296
-53463.530971,800,383.097574
-11113.619019,800,383.737107
-57948.794446,800,384.385651
-9954.032251,800,389.061828
-16418.196065,800,389.789677
-151191.991993,800,394.453169
-45554.342766,800,395.182455
-4788.219103,800,395.888416
-6361.534555,800,400.477556
-12964.559561,800,401.174662
-22951.530676,800,405.901101
-28492.589207,800,406.684257
-30015.98636,800,407.398184
-21722.230111,800,412.270845
-19170.308518,800,412.939541
-16144.070007,800,413.539399
-4313.686047,800,418.225597
-14961.410952,800,418.922347
-4526.411202,800,423.482718
-27436.398294,800,424.252237
-270.184116,800,424.967562
-328.881598,800,429.55172
-856.373637,800,430.206453
-8751.108896,800,434.781894
-11056.331334,800,435.398647
-1447.067433,800,436.065101
611.193291,800,440.735888
563.763605,800,441.405362
-39122.504876,800,446.095922
-66732.755206,800,446.736516
1013.205507,800,447.362715
-10720.666732,800,452.074158
-38649.030414,800,452.811796
-79.492607,800,457.242236
-42183.171672,800,457.940346
-19365.473454,800,458.552002
-59689.846063,800,463.340476
-2534.34171,800,463.963372
154.244151,800,464.594191
923.770274,800,469.156824
400.045427,800,469.897998
-59469.076053,800,474.478962
-2714.25595,800,475.108234
-22191.879125,800,475.950173
-238.165671,800,480.521916
-6971.452031,800,481.148548
-10866.360833,800,485.647721
-1962.470676,800,486.277747
-2453.168483,800,486.90323
-1280.291837,800,491.495437
-499.959526,800,492.130905
